,deck,word,meaning,example
0,Common Words VI,sullen,adjective: showing a brooding ill humor,"Herbert took board games too seriously, often appearing sullen after losing."
1,Common Words VI,erudite,adjective: having or showing profound knowledge,"Before the Internet, the library was typically where you would find erudite readers."
2,Common Words VI,posit,verb: assume as fact,"Initially, Einstein posited a repulsive force to balance Gravity, but then rejected that idea as a blunder."
3,Common Words VI,specious,adjective: based on pretense; deceptively pleasing,Almost every image on TV is specious and not to be trusted.
4,Common Words VI,reproach,verb: to express criticism towards,"At first, Sarah was going to yell at the boy, but she didn't want to reproach him for telling the truth about the situation."
5,Common Words VI,fastidious,adjective: overly concerned with details; fussy,"Whitney is fastidious about her shoes, arranging them on a shelf in a specific order, each pair evenly spaced."
6,Common Words VI,appease,verb: pacify by acceding to the demands of,"Neville Chamberlain, the British prime minister during WWII, tried to appease Hitler and in doing so sent a clear message: you can walk all over us."
7,Common Words VI,harried,adjective: troubled persistently especially with petty annoyances,"With a team of new hires to train, Martha was constantly harried with little questions and could not focus on her projects."
8,Common Words VI,economical,"adjective: avoiding waste, efficient","Journalists favor an economical style of writing, in which no unnecessary words are used and every sentence is as short as possible."
9,Common Words VI,opulence,noun: wealth as evidenced by sumptuous living,"Russian oligarchs are famous for their opulence, living in fancy homes and dining on expensive caviar."
10,Common Words VI,nonplussed,adjective: unsure how to act or respond,Shirley was totally nonplussed when the angry motorist cut her off and then stuck his finger out the window.
11,Common Words VI,misconstrue,verb: interpret in the wrong way,The politician never trusted journalists because he thought that they would misconstrue his words and misrepresent his positions.
12,Common Words VI,Magoosh Score Estimator,"noun: After taking a practice exam, determine your score on the GRE 340-point scale. Learn more at http://gre.magoosh.com",Mike scored a 335 on a practice exam using the Magoosh score estimator.
13,Common Words VI,craven,adjective: pathetically cowardly,"Though the man could have at least alerted the police, he crouched cravenly in the corner as the old woman was mugged."
14,Common Words VI,contrition,noun: the feeling of remorse or guilt that comes from doing something bad,Those who show contrition during their prison terms--especially when under review by a parole board--often get shortened sentences.
15,Common Words VI,transient,adjective: lasting a very short time,The unpredictable and transient nature of deja vu makes it a very difficult phenomenon to study properly.
16,Common Words VI,edifying,adjective: enlightening or uplifting so as to encourage intellectual or moral improvement,"I recently read an article in the Times about whether good literature is edifying or not; specifically, does reading more make a person more moral."
17,Common Words VI,stringent,adjective: demanding strict attention to rules and procedures,"Most of the students disliked the teacher because of his stringent homework policy, but many students would later thank him for demanding so much from them."
18,Common Words VI,jovial,adjective: full of or showing high-spirited merriment,The presidential candidate and her supporters were jovial once it was clear that she had won.
19,Common Words VI,rebuke,verb: criticize severely or angrily; censure,The police chief rebuked the two officers whose irresponsible decisions almost led to the deaths of seven innocent by-standers.
20,Common Words VI,placate,verb: cause to be more favorably inclined; gain the good will of,I was able to placate the angry mob of students by promising to bring cookies on Monday.
21,Common Words VI,mundane,adjective: repetitive and boring; not spiritual,"Nancy found doing dishes a thorougly mundane task, although Peter found a kind of Zen pleasure in the chore."
22,Common Words VI,dilatory,adjective: wasting time,Lawyers use dilatory tactics so that it takes years before the case is actually decided.
23,Common Words VI,maladroit,adjective: clumsy,"As a child she was quite maladroit, but as an adult, she has become an adept dancer."
24,Common Words VI,disseminate,verb: cause to become widely known,"Before the effects of anesthesia were disseminated, patients had to experience the full pain of a surgery."
25,Common Words VI,arduous,adjective: demanding considerable mental effort and skill; testing powers of endurance,"In order to deal with the arduous cross-country journey, truck drivers often survive on a string of caffeinated drinks, staying awake for up to 30 hours at a time."
26,Common Words VI,bolster,verb: support and strengthen,The case for the suspect's innocence was bolstered considerably by the fact that neither fingerprints nor DNA were found at the scene.
27,Common Words VI,elicit,"verb: call forth (emotions, feelings, and responses)",Just smiling--even if you are depressed--can elicit feelings of pleasure and happiness.
28,Common Words VI,impartial,adjective: free from undue bias or preconceived opinions,The judge was not impartial since he had been bribed by the witness's family.
29,Common Words VI,dispassionate,adjective: unaffected by strong emotion or prejudice,"A good scientist should be dispassionate, focusing purely on what the evidence says, without personal attachment."
30,Common Words VI,timorous,adjective: timid by nature or revealing fear and nervousness,"Since this was her first time debating on stage and before an audience, Di's voice was timorous and quiet for the first 10 minutes."
31,Common Words VI,deleterious,adjective: harmful to living things,The BP oil spill in the Gulf of Mexico was deleterious to the fishing industry in the southern states.
32,Common Words VI,flux,noun: a state of uncertainty about what should be done (usually following some important event),"Ever since Elvira resigned as the head of marketing, everything about our sales strategy has been in a state of flux."
33,Common Words VI,furtive,adjective: marked by quiet and caution and secrecy; taking pains to avoid being observed,"While at work, George and his boss Regina felt the need to be as furtive as possible about their romantic relationship."
34,Common Words VI,banality,noun: a trite or obvious remark,Herbert regarded the minister's remark as a mere banality until Sharon pointed out profound implications to the seemingly obvious words.
35,Common Words VI,mendacity,noun: the tendency to be untruthful,I can forgive her for her mendacity but only because she is a child and is seeing what she can get away with.
36,Common Words VI,indecorous,adjective: not in keeping with accepted standards of what is right or proper in polite society,Eating with elbows on the table is considered indecorous in refined circles.
37,Common Words VI,truncate,verb: reduce the length of something,The soccer game was truncated when the monsoon rain began to fall.
38,Common Words VI,efficacious,adjective: producing the intended result,"Since Maggie's cough syrup, which had expired five years back, was no longer efficacious, she coughed through the night."
39,Common Words VI,anomaly,"noun: something that is not normal, standard, or expected","After finding an anomaly in the data, she knew that she would have to conduct her experiment again."
