,deck,word,meaning,example
0,Common Words III,magnanimous,"adjective: noble and generous in spirit, especially towards a rival or someone less powerful",He was a great sportsman: in defeat he was complimentary and in victory he was magnanimous.
1,Common Words III,elucidate,verb: make clearer and easier to understand,Youtube is great place to learn just about anything--an expert elucidates finer points so that even a complete novice can learn.
2,Common Words III,tenacious,adjective: stubbornly unyielding,Even the most tenacious advocates for gun ownership must admit some of the dangers that firearms present.
3,Common Words III,guileless,adjective: free of deceit,"At first I thought my niece was guileless, but I then found myself buying her ice cream every time we passed a shop."
4,Common Words III,rudimentary,adjective: being in the earliest stages of development; being or involving basic facts or principles,"I would love to be able to present a fully polished proposal to the board, but right now, our plans for the product are still in the most rudimentary stages."
5,Common Words III,fallacious,adjective: of a belief that is based on faulty reasoning,"The widespread belief that Inuit have forty different words for ""snow"" has been considered fallacious, based on a single report by Anthropologist Franz Boas."
6,Common Words III,apathy,noun: an absence of emotion or enthusiasm,Widespread apathy among voters led to a very small turnout on election day.
7,Common Words III,travesty,noun: an absurd presentation of something; a mockery,"What I expected to be an intelligent, nuanced historical documentary turned out to be a poorly-produced travesty of the form."
8,Common Words III,staunch,adjective: firm and dependable especially in loyalty,"No longer a staunch supporter of the movement, Todd now will openly question whether its goals are worthwhile."
9,Common Words III,tantamount,adjective: being essentially equal to something,"In many situations, remaining silent is tantamount to admitting guilt, so speak to prove your innocence."
10,Common Words III,derive,"verb: come from; be connected by a relationship of blood, for example","Many words in the English language are derived from Latin, including the word ""derive."""
11,Common Words III,frustrate,"verb: hinder or prevent (the efforts, plans, or desires) of","I thought I would finish writing the paper by lunchtime, but a number of urgent interruptions served to frustrate my plan."
12,Common Words III,forlorn,adjective: marked by or showing hopelessness,"After her third pet dog died, Marcia was simply forlorn: this time even the possibility of buying a new dog no longer held any joy."
13,Common Words III,abstain,verb: choose not to consume or take part in (particularly something enjoyable),"Considered a health nut, Jessica abstained from anything containing sugar--even chocolate."
14,Common Words III,spurious,adjective: plausible but false,"When listening to a politician speak, it is hard to distinguish the spurious claims from the authentic ones."
15,Common Words III,heretic,noun: a person who holds unorthodox opinions in any field (not merely religion),"Though everybody at the gym told Mikey to do cardio before weights, Mikey was a heretic and always did the reverse."
16,Common Words III,negligible,adjective: so small as to be meaningless; insignificant,"The GRE tests cumulative knowledge, so if you cram the night before it is, at best, likely to only have a negligible impact on your score."
17,Common Words III,delineate,verb: describe in detail,"After a brief summary of proper swimming technique, the coach delineated the specifics of each stroke, spending 30 minutes alone on the backstroke."
18,Common Words III,incongruous,adjective: lacking in harmony or compatibility or appropriateness,The vast economic inequality of modern society is incongruous with America's ideals.
19,Common Words III,eclectic,adjective: comprised of a variety of styles,"Malala was known for her eclectic tastes in music, one moment dancing to disco the next ""air conducting"" along to Beethoven's 9th symphony."
20,Common Words III,mollify,verb: to make someone who is angry less angry; placate,"In the morning, Janine was unable to mollify Harry, if he happened to become angry, unless he'd had his cup of coffee."
21,Common Words III,treacherous,adjective: tending to betray,"Even though Jesse James was an outlaw, his killer, Robert Ford, is remembered more for his treacherous actions than for eliminating a criminal and murderer."
