,deck,word,meaning,example
0,Advanced V,besotted,adjective: strongly affectionate towards,"Even though her father did not approve, Juliet became besotted with the young Romeo."
1,Advanced V,artifice,noun: cunning tricks used to deceive others,The mayoral candidates both spent much of the campaign accusing each other of artifices designed to mislead the voting public.
2,Advanced V,objurgate,verb: express strong disapproval of,The manager spent an hour objurgating the employee in the hopes that he would not make these mistakes again.
3,Advanced V,languish,verb: become feeble,"Stranded in the wilderness for four days, the hiker languished, eating protein bars and nuts."
4,Advanced V,deign,verb: do something that one considers to be below one's dignity,The master of the house never deigned to answer questions from the servants.
5,Advanced V,bemoan,verb: express discontent or a strong regret,"While the CFO carefully explained all the reasons for the cuts in benefits, after the meeting employees bemoaned the cuts as further evidence that management was against them."
6,Advanced V,appurtenant,adjective: supplying added support,"In hiking Mt. Everest, sherpas are appurtenant, helping climbers both carry gear and navigate treacherous paths."
7,Advanced V,effervescent,adjective: marked by high spirits or excitement,"After the sales result, the manager was in an effervescent mood, letting several employees leave work early that day."
8,Advanced V,doleful,adjective: filled with or evoking sadness,"No event is more doleful than the passing of my mother; she was a shining star in my life, and it brings me great sadness to think that she is now gone."
9,Advanced V,squelch,verb: suppress or crush completely,"After the dictator consolidated his power, he took steps to squelch all criticism, often arresting any journalist who said anything that could be interpreted as negative about his regime."
10,Advanced V,ineffable,adjective: too sacred to be uttered; defying expression or description,"While art critics can occasionally pinpoint a work's greatness, much of why a piece captures our imaginations is completely ineffable."
11,Advanced V,broadside,noun: a strong verbal attack,Political broadsides are usually strongest in the weeks leading up to a national election.
12,Advanced V,paragon,noun: model of excellence or perfection of a kind; one having no equal,"Even with the rise of Kobe Bryant, many still believe that Michael Jordon is the paragon for basketball players."
13,Advanced V,meteoric,adjective: like a meteor in speed or brilliance or transience,"The early spectacular successes propelled the pitcher to meteoric stardom, but a terrible injury tragically cut short his career."
14,Advanced V,atavism,noun: a reappearance of an earlier characteristic; throwback,Much of the modern art movement was an atavism to a style of art found only in small villages through Africa and South America.
15,Advanced V,recrudesce,verb: to break out or happen again,"After years of gamblers anonymous, Tony thought he'd broken his compulsive slot machine playing, but it took only one trip to the Atlantic City for a full recrudescence--he lost $5k on the one armed bandit."
16,Advanced V,baleful,adjective: threatening or foreshadowing evil or tragic developments,Movies often use storms or rain clouds as a baleful omen of evil events that will soon befall the main character.
17,Advanced V,vitriol,noun: abusive or venomous language used to express blame or bitter deep-seated ill will,His vitriol spewed forth from a deep-seated racism that consumed his whole life.
18,Advanced V,ersatz,adjective: not real or genuine; phony,"The car dealer's ersatz laughter was immediately followed by a price quote, one that Shelley found highly inflated."
19,Advanced V,truculence,noun: defiant aggressiveness,"When the boss confronted Aaron about his earlier remarks, Aaron responded with utter truculence, simply throwing a glass of water in the boss' face and walking away."
20,Advanced V,empiricism,"noun: any method that derives knowledge from experience, used in experimental science as a way to gain insight and knowledge",Empiricism does not always lead to knowledge; an experience or experiment may raise more questions than it answers.
21,Advanced V,hoary,adjective: ancient,"Most workout gurus are young, fit people, whereas most yoga gurus are hoary men with long white beards."
22,Advanced V,debonair,adjective: having a sophisticated charm,"James Bond is known for his good looks, high tech gadgets, and debonair manner."
23,Advanced V,brook,verb: put up with something or somebody unpleasant,"While she was at the chalkboard, the teacher did not brook any form of talking--even a tiny peep resulted in afternoon detention."
