,deck,word,meaning,example
0,Common Words II,culpability,noun: a state of guilt,"Since John had left his banana peel at the top of the stairwell, he accepted culpability for Martha's broken leg."
1,Common Words II,volubility,noun: the quality of talking or writing easily and continuously,The professor's volubility knows no bounds; he could talk through a hurricane and elaborate a point from one St. Patrick's Day to the next.
2,Common Words II,eschew,verb: avoid and stay away from deliberately; stay clear of,Politicians are the masters of eschewing morals; academics are the masters of eschewing clarity.
3,Common Words II,glut,noun: an excessive supply,The Internet offers such a glut of news related stories that many find it difficult to know which story to read first.
4,Common Words II,concede,verb: acknowledge defeat,I concede. You win!
5,Common Words II,recondite,adjective: difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,"I found Ulysses recondite and never finished the book, waiting instead to read it with someone else so we could penetrate its meaning together."
6,Common Words II,Magoosh Blog,noun: A place to find valuable information including study schedules and GRE tips. Learn more at http://magoosh.com/gre,Lena used the 1 month study schedule on the Magoosh blog to score well on the GRE.
7,Common Words II,rustic,adjective: characteristic of rural life; awkwardly simple and provincial,"The vacation cabin had no electricity and no indoor plumbing, but despite these inconveniences, Nigel adored its rustic charm."
8,Common Words II,superfluous,adjective: serving no useful purpose,"How can we hope to stay open if we don't eliminate all superfluous spending, like catered meetings and free acupuncture Tuesday?"
9,Common Words II,aesthetic,adjective: concerned with the appreciation of beauty,"The director, not known for his aesthetic sensibilities, decided not to use costumes at all, and put on the play in everyday clothing."
10,Common Words II,banal,adjective: repeated too often; overfamiliar through overuse,The professor used such banal expression that many students in the class either fell asleep from boredom or stayed awake to complete his sentences and humor friends.
11,Common Words II,mawkish,adjective: overly sentimental to the point that it is disgusting,"The film was incredibly mawkish, introducing highly likeable characters only to have them succumb to a devastating illness by the end of the movie."
12,Common Words II,germane,adjective: relevant and appropriate,"The professor wanted to tell the jury in detail about his new book, but the lawyer said it wasn't germane to the charges in the cases."
13,Common Words II,platitude,noun: a trite or obvious remark,"The professor argued that many statements regarded as wise in previous times, such as the Golden Rule, are now regarded as mere platitudes."
14,Common Words II,entrenched,adjective: fixed firmly or securely,"By the time we reach 60-years old, most of our habits are so entrenched that it is difficult for us to change."
15,Common Words II,perfidy,noun: an act of deliberate betrayal; a breach of a trust,"Sure, he was the best salesman in the company; but Michael had abused the trust of the firm, sharing product secrets with a competitor, and for such perfidy he was terminated."
16,Common Words II,audacious,adjective: willing to be bold in social situations or to take risks,"As all of the other campers cowered in their tents, Bill, armed only with a flashlight, audaciously tracked down the bear that had raided their food."
17,Common Words II,prescience,noun: the power to foresee the future,Baxter's warnings about investing in technology stocks seemed like an act of prescience after the whole market declined significantly.
18,Common Words II,bucolic,adjective: relating to the pleasant aspects of the country,"The noble families of England once owned vast expanses of beautiful, bucolic land."
19,Common Words II,incisive,adjective: having or demonstrating ability to recognize or draw fine distinctions,"The lawyer had an incisive mind, able in a flash to dissect a hopelessly tangled issue and isolate the essential laws at play."
20,Common Words II,culminate,verb: reach the highest or most decisive point,"Beethoven's musical genius culminated in the 9th Symphony, which many consider his greatest work."
21,Common Words II,inexorable,adjective: impossible to stop or prevent,The rise of the computer was an inexorable shift in technology and culture.
22,Common Words II,vociferous,adjective: conspicuously and offensively loud; given to vehement outcry,"In giving Marcia a particular vociferous response, Paul caused people at every other table in the restaurant to turn around and look at them angrily."
23,Common Words II,predilection,noun: a strong liking,"Monte had a predilection for the fine things in life: Cuban cigars, 200 dollar bottles of wine, and trips to the French Riviera."
24,Common Words II,preclude,verb: keep from happening or arising; make impossible,"The manager specified that all other gates be locked, to preclude the possibility of persons without tickets entering the arena undetected."
25,Common Words II,lambast,verb: criticize severely or angrily,"Showing no patience, the manager utterly lambasted the sales team that lost the big account."
