,deck,word,meaning,example
0,Common Words V,winsome,adjective: charming in a childlike or naive way,"She was winsome by nature, and many people were drawn to this free and playful spirit."
1,Common Words V,trite,adjective: repeated too often; overfamiliar through overuse,Many style guides recommend not using idioms in writing because these trite expressions are uninteresting and show a lack of imagination on the part of the writer.
2,Common Words V,vacillate,verb: be undecided about something; waver between conflicting positions or courses of action,"Some students vacillate between schools when deciding which to attend, while others focus only on one school."
3,Common Words V,prodigious,adjective: so great in size or force or extent as to elicit awe,"After the relatively small homerun totals in the ""dead ball"" era, Babe Ruth's homerun totals were truly prodigious: every year, he set a new all-time record."
4,Common Words V,scrupulous,adjective: characterized by extreme care and great effort,"Because of his scrupulous nature, Mary put him in charge of numbering and cataloging the entire collection of rare stamps."
5,Common Words V,audacity,noun: aggressive boldness in social situations,Mike was upset at the man who not only cut in front of him at the ticket counter but also had the audacity to cut in front of him at the bathroom line.
6,Common Words V,sanction,verb: give authority or permission to,The authorities have sanctioned the use of the wilderness reserve for public use; many expect to see hikers and campers enjoying the park in the coming months.
7,Common Words V,propitious,adjective: presenting favorable circumstances; likely to result in or show signs of success,"The child's heartbeat is still weak, but I am seeing many propitious signs and I think that she may be healing."
8,Common Words V,pernicious,adjective: exceedingly harmful; working or spreading in a hidden and injurious way,The most successful viruses are pernicious: an infected person may feel perfectly healthy for several months while incubating and spreading the virus.
9,Common Words V,subversive,adjective: in opposition to an established system or institution.,"The ruling political party has begun a campaign to shut down subversive websites that it deems as a threat to ""national safety."""
10,Common Words V,munificent,adjective: very generous,"Uncle Charley was known for his munificence, giving all seven of his nephews lavish Christmas presents each year."
11,Common Words V,inveterate,adjective: habitual,He is an inveterate smoker and has told his family and friends that there is no way he will ever quit.
12,Common Words V,foment,verb: try to stir up public opinion,"After having his pay cut, Phil spread vicious rumors about his boss, hoping to foment a general feeling of discontent."
13,Common Words V,inscrutable,adjective: not easily understood; unfathomable,His speech was so dense and confusing that many in the audience found it inscrutable.
14,Common Words V,gauche,adjective: lacking social polish,"Sylvester says the most gauche things, such as telling a girl he liked that she was much prettier when she wore makeup."
15,Common Words V,arbitrary,"adjective: based on a random, groundless decision",One of the arbitrary decrees in place during the emperor's rule is that all citizens pay him weekly homage at his palace.
16,Common Words V,precipitous,adjective: done with very great haste and without due deliberation,"Instead of calling his financial advisor, Harold acted precipitously, buying 4,000 shares of the latest ""hot"" stock, only to find out that the company had a history of inflating its year end numbers."
17,Common Words V,arcane,adjective: requiring secret or mysterious knowledge,Most college fraternities are known for arcane rituals that those hoping to join the fraternity must learn.
18,Common Words V,resurgent,adjective: rising again as to new life and vigor,"The team sank to fourth place in June, but is now resurgent and about to win the division."
19,Common Words V,obsequious,adjective: attentive in an ingratiating or servile manner; attempting to win favor from influential people by flattery,"The obsequious waiter did not give the couple a moment's peace all through the meal, constantly returning to their table to refill their water glasses and to tell them what a handsome pair they made."
20,Common Words V,intrepid,adjective: fearless,Captain Ahab was an intrepid captain whose reckless and fearless style ultimately led to his downfall.
