,deck,word,meaning,example
0,Advanced III,prolixity,noun: boring verbosity,"I loved my grandfather dearly, but his prolixity would put me to sleep, regardless of the topic."
1,Advanced III,flummox,verb: be a mystery or bewildering to,Mary's behavior completely flummoxes me: I never have any idea what her motivations might be.
2,Advanced III,quail,"verb: draw back, as with fear or pain","Craig always claimed to be a fearless outdoorsman, but when the thunderstorm engulfed the valley, he quailed at the thought of leaving the safety of his cabin."
3,Advanced III,pecuniary,adjective: relating to or involving money,The defendant was found guilty and had to serve a period of community service as well as pay pecuniary damages to the client.
4,Advanced III,litany,noun: any long and tedious account of something,"Mr. Rogers spoke to a Senate committee and did not give a litany of reasons to keep funding the program, but instead, appealed to the basic human decency of all present."
5,Advanced III,hagiographic,adjective: excessively flattering toward someone's life or work,"Most accounts of Tiger Woods's life were hagiographic, until, that is, his affairs made headlines."
6,Advanced III,bowdlerize,verb: edit by omitting or modifying parts considered indelicate,"To receive an R rating, the entire movie was bowdlerized because it contained so much violence and grotesque subject matter."
7,Advanced III,moribund,adjective: being on the point of death; declining rapidly losing all momentum in progress,"Whether you like it or not, jazz as a genre is moribund at best, possibly already dead."
8,Advanced III,anemic,adjective: lacking energy and vigor,"After three straight shows, the lead actress gave an anemic performance the fourth night, barely speaking loudly enough for those in the back rows to hear."
9,Advanced III,semblance,noun: an outward or token appearance or form that is deliberately misleading,"While the banker maintained a semblance of respectability in public, those who knew him well were familiar with his many crimes."
10,Advanced III,probity,"noun: integrity, strong moral principles","The ideal politician would have the probity to lead, but reality gravely falls short of the ideal of morally upright leaders."
11,Advanced III,temerity,noun: fearless daring,No child has the temerity to go in the rundown house at the end of the street and see if it is haunted.
12,Advanced III,primacy,noun: the state of being first in importance,"The primacy of Apple Computers is not guaranteed, as seen in the recent lawsuits and weak growth."
13,Advanced III,punctilious,adjective: marked by precise accordance with details,The colonel was so punctilious about enforcing regulations that men feel compelled to polish even the soles of their shoes.
14,Advanced III,cede,verb: relinquish possession or control over,"Eventually, all parents must cede control of their growing childrens' educations and allow their offspring some autonomy."
15,Advanced III,derelict,adjective: (of a person) not doing one's duties,The teacher was derelict in her duties because she hadn't graded a single student paper in three weeks.
16,Advanced III,enthrall,verb: hold spellbound,"She was so enthralled by the movie that she never heard people screaming, ""Fire! Fire!"" in the neighboring theater."
17,Advanced III,sinecure,noun: an office that involves minimal duties,"The position of Research Director is a sinecure: the job entails almost no responsibilities, nor does the person in that position have to answer to anyone."
18,Advanced III,impute,verb: attribute (responsibility or fault) to something,He imputed his subpar performance on the test to a combination of stress and poor sleep.
19,Advanced III,lugubrious,adjective: excessively mournful,"At the funeral, lugubrious songs filled the small church."
