,deck,word,meaning,example
0,Common Words IV,ostentatious,adjective: intended to attract notice and impress others; tawdry or vulgar,"Matt wanted to buy stone lions for front of the house, but Cynthia convinced him that such a display would be too ostentatious for a modest house in an unassuming neighborhood."
1,Common Words IV,contingent,noun: a gathering of persons representative of some larger group,A small contingent of those loyal to the king have gathered around the castle to defend it.
2,Common Words IV,soporific,adjective: inducing mental lethargy; sleep inducing,"Although the professor is brilliant, his bland monotone gives his lectures a soporific effect."
3,Common Words IV,exalt,verb: praise or glorify,"The teenagers exalted the rock star, covering their bedrooms with posters of him."
4,Common Words IV,pundit,noun: someone who has been admitted to membership in a scholarly field,"Steven Pinker's credentials are unquestioned as a pundit; he has taught at MIT and Stanford, teaches at Harvard, and has published a number of influential books on cognition, language, and psychology."
5,Common Words IV,hackneyed,adjective: lacking significance through having been overused,"Cheryl rolled her eyes when she heard the lecturer's hackneyed advice to ""be true to yourself."""
6,Common Words IV,temperance,noun: the trait of avoiding excesses,Welles wasn't known for his temperance--he usually ate enough for two and drank enough for three.
7,Common Words IV,pedantic,adjective: marked by a narrow focus on or display of learning especially its trivial aspects,"Professor Thompson was regarded as an expert in his field, but his lectures were utterly pedantic, focused on rigorous details of the most trivial conventions in the field."
8,Common Words IV,iconoclastic,adjective: defying tradition or convention,"Jackson Pollock was an iconoclastic artist, totally breaking with tradition by splashing paint on a blank canvas."
9,Common Words IV,implausible,adjective: describing a statement that is not believable,The teacher found it implausible that the student was late to school because he had been kidnapped by outlaws on horseback.
10,Common Words IV,bumbling,"adjective: lacking physical movement skills, especially with the hands","Within a week of starting, the bumbling new waiter was unceremoniously fired."
11,Common Words IV,underscore,verb: give extra weight to (a communication),"While the hiking instructor agreed that carrying a first aid kit could be a good idea under certain circumstances, he underscored the importance of carrying enough water."
12,Common Words IV,exacting,adjective: requiring and demanding accuracy,"Though his childhood piano teacher was so exacting, Max is thankful now, as a professional pianist."
13,Common Words IV,burgeon,verb: grow and flourish,"China's housing market is burgeoning, but some predict that the growth is merely a bubble and will burst much like the U.S. real estate bubble of 2008."
14,Common Words IV,idiosyncrasy,noun: a behavioral attribute that is distinctive and peculiar to an individual,"Peggy's numerous idiosyncrasies include wearing mismatched shoes, laughing loudly to herself, and owning a pet aardvark."
15,Common Words IV,acerbic,adjective: harsh in tone,"Most movie critics are acerbic towards summer blockbusters, often referring to them as garbage."
16,Common Words IV,incorrigible,adjective: impervious to correction by punishment,Tom Sawyer seems like an incorrigible youth until Huck Finn enters the novel; even Sawyer can't match his fierce individual spirit.
