,deck,word,meaning,example
0,Advanced VI,gumption,noun: resourcefulness and determination,"Wallace Stegner lamented the lack of gumption in the U.S. during the sixties, claiming that no young person knew the value of work."
1,Advanced VI,callow,adjective: young and inexperienced,Both Los Angeles and New York are known for callow out-of-towners hoping to make it big.
2,Advanced VI,complaisant,adjective: showing a cheerful willingness to do favors for others,"On her first day at the job, Annie was complaisant, fulfilling every request of her new employer and anticipating future requests."
3,Advanced VI,pontificate,verb: talk in a dogmatic and pompous manner,"The vice-president would often pontificate about economic theory, as if no one else in the room were qualified to speak on the topic."
4,Advanced VI,bromide,noun: a trite or obvious remark,"Instead of sharing his umbrella, the cheeky stranger offered Martha the following bromide: ""Looks like it's raining."""
5,Advanced VI,desiccated,"adjective: uninteresting, lacking vitality",Few novelists over 80 are able to produce anything more than desiccated works--boring shadows of former books.
6,Advanced VI,turgid,adjective: (of language) pompous and tedious,"The amount of GRE vocabulary he used increased with his years--by the time he was 60, his novels were so turgid that even his diehard fans refused to read them."
7,Advanced VI,complicit,"adjective: Associated with or participating in an activity, especially one of a questionable nature.","While the grand jury cleared the senator of all criminal charges, in the public mind he was still complicit in the corruption."
8,Advanced VI,proscribe,verb: command against,My doctor proscribed my habit of eating donuts with chocolate sauce and hamburger patties for breakfast.
9,Advanced VI,self-effacing,adjective: reluctant to draw attention to yourself,"The most admirable teachers and respected leaders are those who are self-effacing, directing attention and praise to their students and workers."
10,Advanced VI,unimpeachable,adjective: free of guilt; not subject to blame; beyond doubt or reproach,"After his long and unimpeachable service to the company, Sharat felt that a gold watch was a slap in the face rather than an honor."
11,Advanced VI,assiduously,adverb: with care and persistence,"The top college football program recruits new talent assiduously, only choosing those who were the top in their county."
12,Advanced VI,vaunted,adjective: highly or widely praised or boasted about,"For years, they had heard of New York City's vaunted skyline, and when they finally saw it, the spectacular cityscape did not disappoint them in the least."
13,Advanced VI,inviolable,"adjective: never to be broken, infringed, or dishonored",To many the grass at Wimbledon is inviolable and only greater tennis players are able to enjoy a game there.
14,Advanced VI,panegyric,noun: a formal expression of praise,"Dave asked Andrew to do just a simple toast, but Andrew launched into a full panegyric, enumerating a complete list of Dave's achievements and admirable qualities."
15,Advanced VI,enormity,noun: an act of extreme wickedness,The enormity of Pol Pot's regime is hard to capture in words--within months hundreds of thousands of Cambodians lost their lives.
16,Advanced VI,palatable,adjective: acceptable to the taste or mind,"Mikey didn't partake much in his friends' conversations, but found their presence palatable."
17,Advanced VI,coterminous,adjective: being of equal extent or scope or duration,The border of the state is coterminous with geographic limits on travel; the east and north are surrounded by a nearly uncrossable river and the south by a desert.
18,Advanced VI,tyro,noun: someone new to a field or activity,"All great writers, athletes, and artists were tyros at one time—unknown, clumsy, and unskilled with much to learn."
19,Advanced VI,internecine,adjective: (of conflict) within a group or organization,"The guerilla group, which had become so powerful as to own the state police, was finally destroyed by an internecine conflict."
20,Advanced VI,autocratic,adjective: characteristic of an absolute ruler or absolute rule; having absolute sovereignty,The last true autocratic country is certainly North Korea; nowhere does a leader exercise the absolute control over all aspects of a people the way that Kim Jong-un does.
21,Advanced VI,impervious,adjective: not admitting of passage or capable of being affected,I am not impervious to your insults; they cause me great pain.
22,Advanced VI,solicitous,adjective: showing hovering attentiveness,"Our neighbors are constantly knocking on our door to make sure we are ok, and I don't know how to ask them to stop being so solicitous about our health."
23,Advanced VI,malingerer,noun: someone shirking their duty by pretending to be sick or incapacitated,"At one time, our country was full of hardworking respectful people, but now it seems that everyone is a malingerer with little inclination to work."
