,deck,word,meaning,example
0,Basic I,telling,adjective: significant and revealing of another factor,Her unbecoming dress was very telling when it came to her sense of fashion.
1,Basic I,amiable,adjective: friendly,Amy’s name was very apt: she was so amiable that she was twice voted class president.
2,Basic I,hound,verb: to pursue relentlessly,"An implacable foe of corruption, Eliot Ness hounded out graft in all forms—he even helped nab Al Capone."
3,Basic I,affable,adjective: likeable; easy to talk to,"For all his surface affability, Marco was remarkably glum when he wasn’t around other people."
4,Basic I,reprobate,noun: a person without morals who is disapproved of,"Mr. Smith’s two boys couldn’t be more different; one was a hard-working and principled, the other was the town reprobate, always having run-ins with the law."
5,Basic I,tender,verb: offer up something formally,The government was loath to tender more money in the fear that it might set off inflation.
6,Basic I,voracious,adjective: very hungry; approaching an activity with gusto,"Steven was a voracious reader, sometimes finishing two novels in the same day."
7,Basic I,inflammatory,"adjective: extremely controversial, incendiary",It only takes one person to leave an inflammatory comment on an Internet thread for that thread to blow up into pages upon pages of reader indignation.
8,Basic I,erratic,adjective: unpredictable; strange and unconventional,"It came as no surprise to pundits that the President’s attempt at re-election floundered; even during his term, support for his policies was erratic, with an approval rating jumping anywhere from 30 to 60 percent."
9,Basic I,spendthrift,noun: one who spends money extravagantly,"Taking weekly trips to Vegas, Megan was a spendthrift whose excesses eventually caught up to her."
10,Basic I,indignant,adjective: feeling anger over a perceived injustice,"When the cyclist swerved into traffic, it forced the driver to brake and elicited an indignant shout of ""Hey, punk, watch where you're going!"""
11,Basic I,retiring,"adjective: to be shy, and to be inclined to retract from company","Nelson was always the first to leave soirees—rather than mill about with “fashionable” folk, he was retiring, and preferred the solitude of his garret."
12,Basic I,macabre,adjective: suggesting the horror of death and decay; gruesome,Edgar Allen Poe was considered the master of the macabre; his stories vividly describe the moment leading up to—and often those moments after—a grisly death.
13,Basic I,stipend,noun: a regular allowance (of money),"He was hoping for a monthly allowance loan from the government, but after no such stipend was forthcoming he realized he would have to seek other means of paying for his college tuition."
14,Basic I,pinnacle,noun: the highest point,"At its pinnacle, the Roman Empire extended across most of the landmass of Eurasia, a feat not paralleled to the rise of the British Empire in the 18th and 19th century."
15,Basic I,remiss,adjective: to be negligent in one’s duty,"Remiss in his duty to keep the school functioning efficiently, the principal was relieved of his position after only three months."
16,Basic I,indigenous,adjective: originating in a certain area,The plants and animals indigenous to Australia are notably different from those indigenous to the U.S—one look at a duckbill platypus and you know you’re not dealing with an opossum.
17,Basic I,indict,verb: to formally charge or accuse of wrong-doing,"The bankrobber was indicted on several major charges, including possession of a firearm."
18,Basic I,thrifty,adjective: spending money wisely,"He was economical, spending his money thriftily and on items considered essential."
19,Basic I,underwrite,verb: to support financially,The latest symphony broadcast was made possible with underwriting from the Carnegie Endowment.
20,Basic I,acme,noun: the highest point of achievement,"The new Cessna airplanes will be the acme of comfort, offering reclining seats and ample legroom."
21,Basic I,telltale,adjective: revealing,"The many telltale signs of chronic smoking include yellow teeth, and a persistent, hacking cough."
22,Basic I,dog,verb: to pursue relentlessly; to hound,"Throughout his life, he was dogged by insecurities that inhibited personal growth."
23,Basic I,pine,verb: to yearn for,"Standing forlornly by the window, she pined for her lost love."
24,Basic I,summit,noun: the peak or highest point,"After hiking for seven days, the climbers finally reached the summit of Mount Kilimanjaro."
25,Basic I,demean,verb: to insult; to cause someone to lose dignity or respect,"At first the soccer players bantered back and forth, but as soon as one of the players became demeaning, calling the other's mother a water buffalo, the ref whipped out a red card."
26,Basic I,zenith,noun: the highest point; culmination,"At the zenith of his artistic career, Elvis was outselling any other artist on the charts."
27,Basic I,affluent,adjective: wealthy,"The center of the city had sadly become a pit of penury, while, only five miles away, multi-million dollar homes spoke of affluence."
28,Basic I,candid,adjective: straightforward and honest,"Even with a perfect stranger, Charles was always candid and would rarely hold anything back."
29,Basic I,bleak,adjective: having a depressing or gloomy outlook,Unremitting overcast skies tend to lead people to create bleak literature and lugubrious music — compare England’s band Radiohead to any band from Southern California.
30,Basic I,demure,adjective: to be modest and shy,The portrait of her in a simple white blouse was sweet and demure.
31,Basic I,unnerve,verb: to make nervous or upset,"At one time unnerved by math problems, she began avidly “Magoosh-ing”, and soon became adept at even combinations and permutations questions."
32,Basic I,mesmerize,verb: to spellbind or enthrall,"The plot and the characters were so well developed that many viewers were mesmerized, unable to move their eyes from the screen for even a single second."
33,Basic I,slapdash,adjective: carelessly and hastily put together,"The office building had been constructed in a slapdash manner, so it did not surprise officials when, during a small earthquake, a large crack emerged on the façade of the building."
34,Basic I,err,verb: to make an error,"He erred in thinking that ""indigent"" and ""indignant"" were synonyms."
35,Basic I,profuse,adjective: plentiful; pouring out in abundance,"During mile 20 of the Hawaii Marathon, Dwayne was sweating so profusely that he stopped to take off his shirt, and ran the remaining six miles wearing nothing more than skimpy shorts."
36,Basic I,insolvent,adjective: unable to pay one's bills; bankrupt,"With credit card bills skyrocketing, a shockingly large number of Americans are truly insolvent."
37,Basic I,diabolical,adjective: to be extremely wicked like the devil,"The conspirators, willing to dispatch anyone who stood in their way, hatched a diabolical plan to take over the city."
38,Basic I,screed,noun: an abusive rant (often tedious),"Joey had difficulty hanging out with his former best friend Perry, who, during his entire cup of coffee, enumerated all of the government’s deficiencies--only to break ranks and launch into some screed against big business."
39,Basic I,variance,noun: the quality of being different,"The cynic quipped, “There is not much variance in politicians; they all seem to lie”."
40,Basic I,thoroughgoing,adjective: very thorough; complete,"As a thoroughgoing bibliophile, one who had turned his house into a veritable library, he shocked his friends when he bought a Kindle."
41,Basic I,dupe,verb: to trick or swindle,"Once again a get-rich-fast Internet scheme had duped Harold into submitting a $5,000 check to a sham operation."
42,Basic I,peruse,verb: to read very carefully,"Instead of perusing important documents, people all too often rush to the bottom of the page and plaster their signatures at the bottom."
43,Basic I,vindictive,adjective: to have a very strong desire for revenge,"Though the other girl had only lightly poked fun of Vanessa's choice in attire, Vanessa was so vindictive that she waited for an entire semester to get the perfect revenge."
44,Basic I,tirade,noun: an angry speech,"In terms of political change, a tirade oftentimes does little more than make the person speaking red in the face."
45,Basic I,miser,noun: a person who doesn't like to spend money (because they are greedy),"Monte was no miser, but was simply frugal, wisely spending the little that he earned."
46,Basic I,inundate,verb: to flood or overwhelm,The newsroom was inundated with false reports that only made it more difficult for the newscasters to provide an objective account of the bank robbery.
47,Basic I,serendipity,"noun: the instance in which an accidental, fortunate discovery is made","By pure serendipity, Sarah discovered, at a flea market in Peoria, a matching earring to replace the one that fell down the storm drain back home."
48,Basic I,embroiled,verb: involved in argument or contention,"These days we are never short of a D.C. politician embroiled in scandal—a welcome phenomenon for those who, having barely finished feasting on the sordid details of one imbroglio, can sink their teeth into a fresh one."
49,Basic I,indict,verb: to formally charge or accuse of wrong-doing,"The bankrobber was indicted on several major charges, including possession of a firearm."
50,Basic I,censor,verb: to examine and remove objectionable material,"Every fall, high school English teachers are inundated by requests to censor their curriculum by removing The Catcher in the Rye and Scarlet Letter from their reading lists."
