,deck,word,meaning,example
0,Advanced II,remonstrate,verb: to make objections while pleading,"The mothers of the kidnapped victims remonstrated to the rogue government to release their children, claiming that the detention violated human rights."
1,Advanced II,phantasmagorical,adjective: illusive; unreal,"Those suffering from malaria fall into a feverish sleep, their world a whirligig of phantasmagoria; if they recover, they are unsure of what actually took place and what was simply a product of their febrile imaginations."
2,Advanced II,factitious,adjective: artificial; not natural,The defendant’s story was largely factitious and did not accord with eyewitness testimonies
3,Advanced II,sartorial,adjective: related to fashion or clothes,"Monte was astute at navigating the world of finance; sartorially, however, he was found wanting—he typically would attempt to complement his beige tie with a gray suit and white pants."
4,Advanced II,gerrymander,verb: to manipulate voting districts in order to favor a particular political party,"Years ago, savvy politicians had gerrymandered the city center to ensure their re-election."
5,Advanced II,vituperate,verb: to criticize harshly; to berate,"Jason had dealt with disciplinarians before, but nothing prepared him for the first week of boot camp, as drill sergeants vituperated him for petty oversights such as forgetting to double knot the laces on his boots."
6,Advanced II,hedge,verb: to limit or qualify a statement; to avoid making a direct statement,"When asked why he had decided to buy millions of shares at the very moment the tech company's stock soared, the CEO hedged, mentioning something vague about gut instinct."
7,Advanced II,imbroglio,noun: a confusing and potentially embarrassing situation,"The chef cook-off featured one gourmand who had the unfortunate distinction of mixing the wrong broths, creating an imbroglio that diners would not soon forget."
8,Advanced II,palimpsest,noun: something that has been changed numerous times but on which traces of former iterations can still be seen,"The downtown was a palimpsest of the city’s checkered past: a new Starbucks had opened up next to an abandoned, shuttered building, and a freshly asphalted road was inches away from a pothole large enough to swallow a small dog."
9,Advanced II,histrionic,adjective: to be overly theatrical,"Though she received a B- on the test, she had such a histrionic outburst that one would have thought that she’d been handed a death sentence."
10,Advanced II,malapropism,noun: the confusion of a word with another word that sounds similar,"Whenever I looked glum, my mother would offer to share ""an amusing antidote"" with me—an endearing malapropism of ""anecdote"" that never failed to cheer me up."
11,Advanced II,curmudgeon,"noun: a grouchy, surly person","Since Uncle Mike was the family curmudgeon, each Thanksgiving he was plied with copious amounts of wine, in the hope that he would become less grouchy."
12,Advanced II,mettlesome,adjective: filled with courage or valor,"For its raid on the Bin Laden’s compound in Abbottabad, Seal Team Six has become, for many Americans, the embodiment of mettle."
13,Advanced II,schadenfreude,noun: joy from watching the suffering of others,"From his warm apartment window, Stanley reveled in schadenfreude as he laughed at the figures below, huddled together in the arctic chill."
14,Advanced II,parvenu,"noun: a person who has suddenly become wealthy, but not socially accepted as part of a higher class",The theater was full of parvenus who each thought that they were surrounded by true aristocrats.
15,Advanced II,expurgate,verb: to remove objectionable material,"The censor expurgated every reference to sex and drugs, converting the rapper's raunchy flow into a series of bleeps."
16,Advanced II,propitiate,verb: to placate or appease,"The two sons, plying their angry father with cheesy neckties for Christmas, were hardly able to propitiate him – the father already had a drawer full of ones he had never worn before or ever planned to."
17,Advanced II,mulct,verb: to defraud or swindle,"The so-called magical diet cure simply ended up mulcting Maria out of hundreds of dollars, but did nothing for her weight."
18,Advanced II,jaundiced,adjective: to be biased against due to envy or prejudice,"Shelly was jaundiced towards Olivia; though the two had once been best friends, Olivia had become class president, prom queen, and, to make matters worse, the girlfriend of the one boy Shelly liked."
19,Advanced II,arriviste,noun: a person who has recently reached a position of power; a social climber,The city center was aflutter with arrivistes who tried to outdo one another with their ostentatious sports cars and chic evening dress.
20,Advanced II,picayune,adjective: trifling or petty (a person),"English teachers are notorious for being picayune; however, the English language is so nuanced and sophisticated that often such teachers are not being contrary but are only adhering to the rules."
21,Advanced II,arch,adjective: to be deliberately teasing,"The baroness was arch, making playful asides to the townspeople; yet because they couldn't pick up on her dry humor, they thought her supercilious."
22,Advanced II,sententious,"adjective: to be moralizing, usually in a pompous sense","The old man, casting his nose up in the air at the group of adolescents, intoned sententiously, “Youth is wasted on the young.”"
23,Advanced II,jejune,adjective: dull; lacking flavor,"Although many top chefs have secured culinary foam's popularity in haute cuisine, Waters criticizes it for being jejune and unfilling."
24,Advanced II,quisling,noun: a traitor,History looks unfavorably upon quislings; indeed they are accorded about the same fondness as Nero—who watched his city burn down while playing the violin.
25,Advanced II,disabuse,verb: to persuade somebody that his/her belief is not valid,"As a child, I was quickly disabused of the notion that Santa Claus was a rotund benefactor of infinite largess—one night I saw my mother diligently wrapping presents and storing them under our Christmas tree."
26,Advanced II,pyrrhic,adjective: describing a victory that comes at such a great cost that the victory is not worthwhile,George W. Bush’s win in the 2000 election was in many ways a pyrrhic victory: the circumstances of his win alienated half of the U.S. population.
27,Advanced II,excoriate,verb: to criticize very harshly,"Entrusted with the prototype to his company’s latest smartphone, Larry, during a late night karaoke bout, let the prototype slip into the hands of a rival company—the next day Larry was excoriated, and then fired."
28,Advanced II,execrate,verb: to curse and hiss at,"Though the new sitcom did decently in the ratings, Nelson railed against the show, saying that it was nothing more than an execrable pastiche of tired clichés and canned laughter."
29,Advanced II,mellifluous,adjective: smooth and sweet-sounding,"Chelsea’s grandmother thought Franz Schubert’s music to be the most mellifluous ever written; Chelsea demurred, and to her grandmother’s chagrin, would blast Rihanna on the home stereo speakers."
30,Advanced II,impecunious,adjective: lacking money; poor,"In extremely trying times, even the moderately wealthy, after a few turns of ill-fortune, can become impecunious."
31,Advanced II,venial,adjective: easily excused or forgiven; pardonable,His traffic violations ran the gamut from the venial to the egregious—on one occasion he simply did not come to a complete stop; another time he tried to escape across state lines at speeds in excess of 140 mph.
32,Advanced II,martinet,noun: a strict disciplinarian,"The job seemed perfect to Rebecca, until she found out that her boss was a total martinet; after each project the boss would come by to scrutinize—and inevitably criticize—every little detail of the work Rebecca had done."
33,Advanced II,maudlin,adjective: overly emotional and sad,"Just as those who were alive during the 70’s are mortified that they once cavorted about in bellbottoms, many who lived during the 80’s are now aghast at the maudlin pop songs they used to enjoy—really, just what exactly is a total eclipse of the heart?"
34,Advanced II,fell,adjective: terribly evil,"For fans of the Harry Potter series, the fell Lord Voldemort, who terrorized poor Harry for seven lengthy installments, has finally been vanquished by the forces of good—unless, that is, JK Rowling decides to come out of retirement."
35,Advanced II,blinkered,adjective: to have a limited outlook or understanding,"In gambling, the blinkered addict is easily influenced by past successes and/or past failures, forgetting that the outcome of any one game is independent of the games that preceded it."
36,Advanced II,Pollyannaish,adjective: extremely optimistic,"Even in the midst of a lousy sales quarter, Debbie remained Pollyannaish, never losing her shrill voice and wide smile, even when prospective customers hung up on her."
37,Advanced II,cupidity,noun: greed for money,Some people believe that amassing as much wealth as possible is the meaning to life—yet they often realize that cupidity brings anything but happiness.
38,Advanced II,apotheosis,noun: exaltation to divine status; the highest point of development,"As difficult as it is to imagine, the apotheosis of Mark Zuckerberg’s career, many believe, is yet to come."
39,Advanced II,peremptory,adjective: bossy and domineering,"My sister used to peremptorily tell me to do the dishes, a chore I would either do perfunctorily or avoid doing altogether."
40,Advanced II,tendentious,adjective: likely to lean towards a controversial view,"Because political mudslinging has become a staple of the 24-hour media cycle, most of us, despite protestations to the contrary, are tendentious on many of today’s pressing issues."
41,Advanced II,limpid,adjective: having clarity in terms of expression,Her limpid prose made even the most recondite subjects accessible to all.
42,Advanced II,benighted,adjective: fallen into a state of ignorance,"Far from being a period of utter benightedness, The Medieval Ages produced some great works of theological speculation."
