,deck,word,meaning,example
0,Basic VII,perquisite,noun: a right reserved exclusively by a particular person or group (especially a hereditary or official right),"Even as the dishwasher at the French restaurant, Josh quickly learned that he had the perquisite of being able to eat terrific food for half the price diners would pay."
1,Basic VII,cosmopolitan,adjective: comprising many cultures; global in reach and outlook,There are few cities in the world as diverse and cosmopolitan as New York.
2,Basic VII,carping,noun: persistently petty and unjustified criticism,What seemed like incessant nagging and carping about my behavior from my mother turned out to be wise and useful advice that has served me well.
3,Basic VII,constraint,noun: something that limits or restricts,"We don't have many resources, so we'll have to work with some very tight constraints."
4,Basic VII,colossal,adjective: so great in size or force or extent as to elicit awe,"Few appreciate the colossal scale of the sun: if hollow, it could contain a million Earths."
5,Basic VII,complementary,adjective: enhancing each other's qualities (for two things or more).,"The head waiter was careful to tell the amateur diners that red wine was complementary with beef, each bringing out subtle taste notes in the other."
6,Basic VII,creditable,adjective: deserving of praise but not that amazing,"Critics agreed the movie was creditable, but few gave it more than three out of five stars."
7,Basic VII,convivial,adjective: describing a lively atmosphere,The wedding reception was convivial; friends who hadn't seen each other for ages drank and ate together before heading to the dance floor.
8,Basic VII,champion,verb: to fight for a cause,Martin Luther King Jr. championed civil rights fiercely throughout his short life.
9,Basic VII,differentiate,"verb: be a distinctive feature, attribute, or trait (sometimes in positive sense)",Mozart's long melodic lines differentiate his compositions from other works of late 18th century music.
10,Basic VII,vanquish,"verb: come out better in a competition, race, or conflict","For years, Argentina would dominate in World Cup qualifying matches, only to be vanquished by one of the European countries during the late stages of the tournament."
11,Basic VII,hamper,verb: prevent the progress or free movement of,"As the rain water began to collect in pools on the highway, it began to hamper the flow of traffic."
12,Basic VII,qualm,noun: uneasiness about the fitness of an action,"While he could articulate no clear reason why Harkner's plan would fail, he nevertheless felt qualms about committing any resources to it."
13,Basic VII,snub,verb: refuse to acknowledge; reject outright and bluntly,"Wheeler was completely qualified for the committee, but the board snubbed him, choosing an obviously lesser qualified candidate instead."
14,Basic VII,laborious,adjective: characterized by effort to the point of exhaustion; especially physical effort,"The most laborious job I've had was working 20 hours a day as a fisherman in King Salmon, Alaska."
