,deck,word,meaning,example
0,Advanced IV,apposite,adjective: remarkably appropriate,"For a writer with such quick wit, Jonathan Swift has a rather apposite name."
1,Advanced IV,denouement,noun: the final resolution of the many strands of a literary or dramatic work; the outcome of a complex sequence of events,"At the denouement of the movie, all questions were answered, and the true identity of the robber was revealed."
2,Advanced IV,nonchalant,adjective: coming across as uninterested or unconcerned; overly casual,"The twenty-somethings at the coffee shop always irked Sheldon, especially the way in which they acted nonchalantly towards everything, not even caring when Sheldon once spilled his mocha on them."
3,Advanced IV,tempestuous,adjective: as if driven by turbulent or conflicting emotions; highly energetic and wildly changing or fluctuating,"Chuck and Kathy had always been stable and agreeable people on their own, but when they got involved, it was a tempestuous relationship."
4,Advanced IV,untenable,adjective: (of theories etc) incapable of being defended or justified,"With the combination of Kepler's brilliant theories and Galileo's telescopic observations, the old geocentric theory became untenable to most of the educated people in Europe."
5,Advanced IV,patent,adjective: glaringly obvious,"Since the book had been through no fewer than six proof runs, the staff was shocked to see such a patent spelling mistake remaining, right in the middle of the front cover!"
6,Advanced IV,impetuous,adjective: characterized by undue haste and lack of thought or deliberation,"Herbert is rarely impetuous, but on the spur of the moment, he spent thousands of dollars on a motorcycle today."
7,Advanced IV,stalwart,adjective: dependable; inured to fatigue or hardships,"Despite all the criticism directed at the President during this scandal, Lisa has remained his stalwart supporter."
8,Advanced IV,recrimination,noun: mutual accusations,"The two brothers sat and cried, pointing fingers and making elaborate recriminations of the other's guilt"
9,Advanced IV,surreptitious,"adjective: stealthy, taking pains not to be caught or detected","Since his mom was a light sleeper, Timmy had to tiptoe surreptitiously through the entire house, careful to not make the floors creak, until he at last was able to enjoy his plunder: a box of chocolate chip cookies."
10,Advanced IV,invidious,adjective: likely to cause resentment,"At a time when many others in the office were about to be laid off, many considered Cheryl's fine clothes that day an invidious display."
11,Advanced IV,equitable,adjective: fair to all parties as dictated by reason and conscience,The equitable distribution of ice cream to a group of 5 year olds will ensure little to no fighting—at least until the ice cream is gone.
12,Advanced IV,cosset,verb: treat with excessive indulgence,"The king and queen cosseted the young prince, giving him a prized miniature pony for his fifth birthday."
13,Advanced IV,puerile,adjective: of or characteristic of a child; displaying or suggesting a lack of maturity,"Helen enjoyed blowing soap bubbles, but Jim regarded this as puerile, totally unworthy of a woman with a Ph.D."
14,Advanced IV,presentiment,noun: a feeling of evil to come,"On the night that Lincoln would be fatally shot, his wife had a presentiment about going to Ford's Theater, but Lincoln persuaded her that everything would be fine."
15,Advanced IV,inviolate,adjective: must be kept sacred,"While the literary critic subjected most of the classics to the harshest reviews, he regarded Cervantes as inviolate, and had nothing but praise for him."
16,Advanced IV,firebrand,noun: someone who deliberately creates trouble,"Freddie is a firebrand: every time he walks into the office, he winds up at the center of heated argument."
17,Advanced IV,hubris,noun: overbearing pride or presumption,"Bill Clinton was criticized for his hubris, since he believed he could get away with anything once in the White House."
18,Advanced IV,crystallize,verb: cause to take on a definite and clear shape,Only after fifteen minutes of brainstorming did Samantha's ideas for the essay crystallize.
19,Advanced IV,ribald,adjective: humorously vulgar,"The speaker was famous for his ribald humor, but the high school principal asked him to keep the talk G-rated when he spoke to the student body."
20,Advanced IV,flippant,adjective: showing inappropriate levity,"Although Sam was trying to honor Mark's sense of humor, many found it quite flippant that he wore a comic nose and glasses mask to Mark's funeral."
21,Advanced IV,imperious,adjective: having or showing arrogant superiority to and disdain of those one views as unworthy,Children are imperious with each other before they learn that earning someone's respect is better than demanding.
22,Advanced IV,unflappable,adjective: not easily perturbed or excited or upset; marked by extreme calm and composure,"The house shook and the ground quaked, but my dad was unflappable and comforted the family."
23,Advanced IV,magisterial,adjective: offensively self-assured or given to exercising unwarranted power,"Though she was only a third grade teacher, Ms. Martinet was magisterial in dealing with her class, lording over them like a queen."
24,Advanced IV,corollary,noun: a practical consequence that follows naturally,"A corollary of Hurricane Sandy, which ravaged the east coast of the U.S., is a push to build higher sea walls to protect against future hurricanes."
25,Advanced IV,subterfuge,noun: something intended to misrepresent the true nature of an activity,"Finally deciding to abandon all subterfuge, Arthur revealed to Cindy everything about his secret affair over the past two years."
26,Advanced IV,asperity,noun: harshness of manner,"The editor was known for his asperity, often sending severe letters of rejection to amateur writers."
27,Advanced IV,decry,verb: express strong disapproval of,"The entire audience erupted in shouts and curses, decrying the penalty card issued by the referee."
28,Advanced IV,incontrovertible,adjective: necessarily or demonstrably true; impossible to deny or disprove,"Unless you can provide incontrovertible evidence, I will remain skeptical."
29,Advanced IV,intimation,noun: an indirect suggestion,"At first the hostess tried intimation, praising the benefits of cutlery; when Cecil continued eating with his hands, the hostess told him to use a fork at dinner."
30,Advanced IV,irrefutable,adjective: impossible to deny or disprove,Scientists are searching for irrefutable evidence that some form of life existed on mars at some point in its history.
31,Advanced IV,unpropitious,adjective: (of a circumstance) with little chance of success,"With only a bottle of water and a sandwich, the hikers faced an unpropitious task: ascending a huge mountain that took most two days to climb."
32,Advanced IV,puissant,adjective: powerful,"Over the years of service, and quite to his surprise, he became a puissant advisor to the community."
33,Advanced IV,dovetail,"verb: fit together tightly, as if by means of an interlocking joint","Although Darwin's evolution and Mendel's genetics were developed in isolation from one another, they dovetail very well."
34,Advanced IV,rarefied,adjective: made more subtle or refined,Jack's vulgar jokes were not so successful in the rarefied environment of college professors.
35,Advanced IV,celerity,"noun: speed, rapidity","We aim to respond to customers' questions with celerity and accuracy, with no longer than a 24 hour wait time."
36,Advanced IV,inure,verb: to make accustomed to something unpleasant,Three years of Manhattan living has inured her to the sound of wailing sirens; she could probably sleep through the apocalypse.
37,Advanced IV,peripatetic,adjective: traveling by foot,Jim always preferred a peripatetic approach to discovering a city: he felt that he could see so many more details while walking.
38,Advanced IV,inimitable,adjective: defying imitation; matchless,"Mozart's music follows a clear pattern that, anyone could imitate, but his music gives an overall sense of effortlessness that is inimitable."
39,Advanced IV,dispensation,noun: an exemption from a rule or obligation,"Since her father is a billionaire, she is given dispensation from many of the school's policies."
40,Advanced IV,lacerate,verb: deeply hurt the feelings of; distress,The teacher was fired for lacerating a student who wrote a poor essay.
41,Advanced IV,machinate,"verb: engage in plotting or enter into a conspiracy, swear together",The rebels met at night in an abandoned barn to machinate.
42,Advanced IV,ossify,verb: make rigid and set into a conventional pattern,"Even as a young man, Bob had some bias against poor people, but during his years in social services, his bad opinions ossified into unshiftable views."
43,Advanced IV,immure,"verb: to enclose, usually in walls","The modern supermarket experience makes many feel claustrophobic, as they are immured in walls upon walls of products."
44,Advanced IV,crestfallen,adjective: brought low in spirit,I asked Maria on a date and she refused without a moment's thought; I was crestfallen.
45,Advanced IV,hobble,verb: to hold back the progress of something,"Bad weather has hobbled rescue efforts, making it difficult for crews to find bodies in the wreckage."
46,Advanced IV,spartan,adjective: unsparing and uncompromising in discipline or judgment; practicing great self-denial,"After losing everything in a fire, Tim decided to live in spartan conditions, sleeping on the floor and owning as little furniture as possible."
47,Advanced IV,encumber,verb: hold back,The costume encumbered all my movements and caused me to sweat profusely.
48,Advanced IV,obstreperous,adjective: noisily and stubbornly defiant; willfully difficult to control,"When the teacher asked the obstreperous student simply to bus his tray, the student threw the entire tray on the floor, shouted an epithet, and walked out."
49,Advanced IV,improvident,adjective: not given careful consideration,"Marty was improvident, never putting money aside for the future but spending it on decorating the interior of his home."
50,Advanced IV,unviable,"adjective: not able to work, survive, or succeed (also spelled inviable).",The plan was obviously unviable considering that it lead to complete environmental destruction in the river valley.
