,deck,word,meaning,example
0,Basic VI,behoove,verb: to be one's duty or obligation,"The teacher looked down at the student and said, ""It would behoove you to be in class on time and complete your homework, so that you don't repeat freshman English for a third straight year."""
1,Basic VI,begrudge,verb: to envy someone for possessing or enjoying something,"Sitting all alone in his room, Harvey begrudged the happiness of the other children playing outside his window."
2,Basic VI,rile,"verb: cause annoyance in; disturb, especially by minor irritations","Dan is usually calm and balanced, but it takes only one intense glare from Sabrina to rile him."
3,Basic VI,eccentric,adjective: highly unconventional or unusual (usually describes a person),"Mozart was well-known for his eccentricities, often speaking words backward to confuse those around him."
4,Basic VI,prevail,verb: be widespread in a particular area at a particular time; be current:,"During the labor negotiations, an air of hostility prevailed in the office."
5,Basic VI,foolhardy,adjective: marked by defiant disregard for danger or consequences,"The police regularly face dangerous situations, so for a police officer not to wear his bullet-proof vest is foolhardy."
6,Basic VI,docile,adjective: easily handled or managed; willing to be taught or led or supervised or directed,Barnyard animals are considerably more docile than the wild animals.
7,Basic VI,precarious,adjective: fraught with danger,"People smoke to relax and forget their cares, but ironically, in terms of health risks, smoking is far more precarious than either mountain-climbing or skydiving."
8,Basic VI,insipid,adjective: dull and uninteresting,The movie director was known for hiring beautiful actors in order to deflect attention away from the insipid scripts he would typically use.
9,Basic VI,clemency,noun: leniency and compassion shown toward offenders by a person or agency charged with administering justice,"In the final moments of the trial, during his closing speech, Phillips was nearly begging the judge for clemency."
10,Basic VI,besmirch,verb: damage the good name and reputation of someone,The prince's distasteful choice of words besmirched not only his own name but also the reputation of the entire royal family.
11,Basic VI,ascribe,verb: attribute or credit to,"History ascribes The Odyssey and The Iliad to Homer, but scholars now debate whether he was a historical figure or a fictitious name."
12,Basic VI,industrious,adjective: characterized by hard work and perseverance,"Pete was an industrious student, completing every assignment thoroughly and on time."
13,Basic VI,finagle,verb: achieve something by means of trickery or devious methods,Steven was able to finagle one of the last seats on the train by convincing the conductor that his torn stub was actually a valid ticket.
14,Basic VI,buttress,verb: make stronger or defensible,China's economy has been buttressed by a global demand for the electronic parts the country manufactures.
15,Basic VI,analogous,adjective: similar in some respects but otherwise different,"In many ways, the Internet's transformative effect on society has been analogous to that of the printing press."
16,Basic VI,intermittent,adjective: stopping and starting at irregular intervals,The intermittent thunder continued and the night was punctuated by cracks of lightning—a surreal sleepless night.
17,Basic VI,irascible,adjective: quickly aroused to anger,"If Arthur's dog is not fed adequately, he becomes highly irascible, even growling at his own shadow."
18,Basic VI,antedate,verb: precede in time,Harry was so unknowledgeable that he was unaware the Egyptian pharaohs antedated the American Revolution.
19,Basic VI,presumptuous,adjective: excessively forward,Many felt that Barney was presumptuous in moving into the large office before the management even made any official announcement of his promotion.
20,Basic VI,coalesce,verb: fuse or cause to grow together,"Over time, the various tribes coalesced into a single common culture with one universal language."
21,Basic VI,incense,verb: make furious,"When Herb bought football tickets for a game on the day of their wedding anniversary, Jill was incensed."
22,Basic VI,wanton,"adjective: without check or limitation; showing no moral restraints to one's anger, desire, or appetites","Due to wanton behavior and crude language, the drunk man was thrown out of the bar and asked to never return."
23,Basic VI,evenhanded,adjective: without partiality,Teachers often have trouble being evenhanded to all of their varied students.
24,Basic VI,piquant,adjective: having an agreeably pungent taste,"The chef, with a mere flick of the salt shaker, turned the bland tomato soup into a piquant meal."
25,Basic VI,rakish,adjective: marked by a carefree unconventionality or disreputableness,"As soon as he arrived in the city, the rakish young man bought some drugs and headed straight for the seedy parts of town."
26,Basic VI,redress,noun: an act of making something right,Barry's redress for forgetting his wife's birthday two years in a row was surprising her with a trip to Tahiti.
27,Basic VI,melancholy,"noun: a deep, long-lasting sadness",Hamlet is a figure of tremendous melancholy: he doesn't have a truly cheerful scene throughout the entire play.
28,Basic VI,glean,verb: collect information bit by bit,"Herb has given us no formal statement about his background, but from various hints, I have gleaned that he grew up in difficult circumstances."
29,Basic VI,cerebral,adjective: involving intelligence rather than emotions or instinct,"A cerebral analysis of most pop music finds it to be simple and childish, but that ignores the point--the music's effect on the listener."
30,Basic VI,deride,verb: treat or speak of with contempt,The nun derided the students for trying to sneak insects and worms into the classroom.
31,Basic VI,tribulation,"noun: something, especially an event, that causes difficulty and suffering","As of 2013, nearly 1.5 million Syrians have fled their country hoping to escape the tribulations of a civil war tearing their country to pieces."
32,Basic VI,implicate,verb: convey a meaning; imply,"By saying that some of the guests were uncomfortable, the manager implicated to the hotel staff that it needed to be more diligent."
33,Basic VI,fawn,verb: try to gain favor by extreme flattery,"The media fawned over the handsome new CEO, praising his impeccable sense of style instead of asking more pointed questions."
34,Basic VI,uncanny,adjective: suggesting the operation of supernatural influences; surpassing the ordinary or normal,"Reggie has an uncanny ability to connect with animals: feral cats will readily approach him, and sometimes even wild birds will land on his finger."
35,Basic VI,delegate,verb: give an assignment to (a person),"Since the senior manager had to go on many international business trips, she was forced to delegate many of her responsibilities to two lower-level managers."
