,deck,word,meaning,example
0,Basic III,pithy,adjective: concise and full of meaning,I enjoy reading the Daodejing for its pithy and insightful prose; it always gives me something to think about.
1,Basic III,malleable,adjective: capable of being shaped or bent or drawn out,The clay became malleable and easy to work with after a little water was added.
2,Basic III,disenfranchise,verb: deprive of voting rights,The U.S. Constitution disenfranchised women until 1920 when they were given the right to vote.
3,Basic III,renege,verb: fail to fulfill a promise or obligation,We will no longer work with that vendor since it has reneged on nearly every agreement.
4,Basic III,incessant,adjective: uninterrupted in time and indefinitely long continuing,"I don't mind small children in brief doses, but I think the incessant exposure that their parents have to them would quickly wear me down."
5,Basic III,entice,verb: get someone to do something through (often false or exaggerated) promises,"Harold enticed his wife, Maude, to go on a vacation to Hawaii, with promises of luaus on the beach and all-you-can-eat seafood buffets."
6,Basic III,plodding,adjective: (of movement) slow and laborious,"Charlie may seem to run at a plodding pace, but he is an ultramarathoner, meaning he runs distances of up to 100 miles, and can run for ten hours at a stretch."
7,Basic III,boon,noun: a desirable state; something helpful or beneficial,Modern technology has been a boon to the travel industry.
8,Basic III,respite,noun: a pause from doing something (as work),"Every afternoon, the small company has a respite in which workers play foosball or board games."
9,Basic III,morose,adjective: ill-tempered and not inclined to talk; gloomy,"After Stanley found out he was no longer able to go on vacation with his friends, he sat in his room morosely."
10,Basic III,fete,verb: to celebrate a person,"After World War II, war heroes were feted at first but quickly forgotten."
11,Basic III,deter,verb: turn away from by persuasion,"His mother tried to deter him from joining the army, but he was too intoxicated with the idea of war to listen."
12,Basic III,inclement,"adjective: (of weather) unpleasant, stormy","After a week of inclement weather, we finally are able to go outside and enjoy the sun."
13,Basic III,jocular,adjective: characterized by jokes and good humor,"My uncle was always in a jocular mood at family gatherings, messing up people's hair and telling knock-knock jokes to anyone who would listen."
14,Basic III,endemic,adjective: native; originating where it is found,"Irish cuisine makes great use of potatoes, but ironically, the potato is not endemic to Ireland."
15,Basic III,degrade,"verb: reduce in worth or character, usually verbally","Jesse had mockingly pointed out all of Nancy's faults in front of their friends, publicly degrading the poor girl."
16,Basic III,consummate,adjective: having or revealing supreme mastery or skill,"Tyler was the consummate musician: he was able to play the guitar, harmonica, and the drum at the same time."
17,Basic III,ascendancy,noun: the state that exists when one person or group has power over another,The ascendancy of the Carlsbad water polo team is clear—they have a decade of championships behind them.
18,Basic III,flounder,verb: behave awkwardly; have difficulties,"Sylvia has excelled at advanced calculus, but ironically, when she has to deal with taxes, she flounders."
19,Basic III,muted,"adjective: softened, subdued","Helen preferred muted earth colors, such as green and brown, to the bright pinks and red her sister liked."
20,Basic III,elusive,adjective: difficult to capture or difficult to remember,Many first time skydivers say that describing the act of falling from the sky is elusive.
21,Basic III,inclement,"adjective: (of weather) unpleasant, stormy","After a week of inclement weather, we finally are able to go outside and enjoy the sun."
22,Basic III,advocate,"verb: speak, plead, or argue in favor of","While the senator privately approved of gay marriage, he was unwilling to advocate for the cause in a public venue."
23,Basic III,ingenuity,noun: the power of creative imagination,"Daedalus was famous for his ingenuity; he was able to fashion his son Icarus with a pair of wings, using wax to hold them together."
24,Basic III,malady,noun: a disease or sickness,The town was struck by a malady throughout the winter that left most people sick in bed for two weeks.
25,Basic III,patronize,verb: treat condescendingly,"She says she genuinely wanted to help me, but instead she patronized me, constantly pointing out how I was inferior to her."
26,Basic III,proponent,noun: a person who pleads for a cause or propounds an idea,"Ironically, the leading proponent of Flat-Earth Theory flies all over the world in an effort to win more adherents."
27,Basic III,transitory,adjective: lasting a very short time,"If we lived forever and life was not transitory, do you think we would appreciate life less or more?"
28,Basic III,meander,verb: to wander aimlessly,"A casual observer might have thought that Peter was meandering through the city, but that day he was actually seeking out those places where he and his long lost love had once visited."
29,Basic III,robust,"adjective: sturdy and strong in form, constitution, or construction","Chris preferred bland and mild beers, but Bhavin preferred a beer with more robust flavor."
30,Basic III,snide,adjective: expressive of contempt; derogatory or mocking in an indirect way,"The chairman interpreted Taylor's question about promotions as a snide remark, but in all innocence Taylor was trying to figure out the company's process."
31,Basic III,raffish,adjective: marked by a carefree unconventionality or disreputableness,"The men found him raffish, but the women adored his smart clothes and casual attitude."
32,Basic III,guffaw,verb: laugh boisterously,"Whenever the jester fell to the ground in mock pain, the king guffawed, exposing his yellow, fang-like teeth."
33,Basic III,appreciable,adjective: large enough to be noticed (usu. refers to an amount),There is an appreciable difference between those who say they can get the job done and those who actually get the job done.
