,deck,word,meaning,example
0,Basic V,devolve,verb: pass on or delegate to another,"The company was full of managers known for devolving tasks to lower management, but never doing much work themselves."
1,Basic V,serene,adjective: calm and peaceful,"I'd never seen him so serene; usually, he was a knot of stress and anxiety from hours of trading on the stock exchange."
2,Basic V,impending,adjective: close in time; about to occur,The impending doom of our world has been discussed and debated for 2000 years—maybe even longer.
3,Basic V,retract,"verb: pull inward or towards a center; formally reject or disavow a formerly held belief, usually under pressure","Email is wonderfully efficient, but once something awkward or damaging has been sent, there is no way to retract it."
4,Basic V,foible,noun: a behavioral attribute that is distinctive and peculiar to an individual,"When their new roommate sat staring at an oak tree for an hour, Marcia thought it indicated a mental problem, but Jeff assured her it was a harmless foible."
5,Basic V,credulity,noun: tendency to believe readily,Virginia's wide-eyed credulity as a five-year old was replaced by suspicion after she learned that Santa Claus didn't really exist.
6,Basic V,enmity,noun: a state of deep-seated ill-will,"The rude remark Charles made toward Sarah yesterday was due to his illness, not due to any real enmity toward Sarah."
7,Basic V,taxing,adjective: use to the limit; exhaust,The hike to the summit of Mt. Whitney was so taxing that I could barely speak or stand up.
8,Basic V,convoluted,adjective: highly complex or intricate,"Instead of solving the math problem in three simple steps, Kumar used a convoluted solution requiring fifteen steps."
9,Basic V,unseemly,adjective: not in keeping with accepted standards of what is right or proper in polite society,"He acted in an unseemly manner, insulting the hostess and then speaking ill of her deceased husband."
10,Basic V,brusquely,"adverb: in a blunt, direct manner","Not one for social pleasantries, the Chief of Staff would brusquely ask his subordinates for anything he wanted, even coffee."
11,Basic V,maxim,noun: a short saying expressing a general truth,Johnson initially suggests that the secret to business can be summarized in a single maxim but then requires a 300-page book to explain exactly what he means.
12,Basic V,perturb,verb: disturb in mind or cause to be worried or alarmed,"Now that Henry is recovering from a major illness, he no longer lets the little trivialities, such as late mail, perturb him."
13,Basic V,connive,verb: taking part in immoral and unethical plots,"With the help of the prince, the queen connived to overthrow the king."
14,Basic V,impregnable,adjective: immune to attack; incapable of being tampered with,"As a child, Amy would build pillow castles and pretend they were impregnable fortresses."
15,Basic V,unprecedented,adjective: having never been done or known before; novel,"When America first created its national parks, the idea of setting aside the most beautiful land in a country was unprecedented in the history of mankind."
16,Basic V,quip,noun: a witty saying or remark,"In one of the most famous quips about classical music, Mark Twain said: ""Wagner's music is better than it sounds."""
17,Basic V,complacent,adjective: contented to a fault with oneself or one's actions,"After the water polo team won their sixth championship, they became complacent and didn't even make it to the playoffs the next year."
18,Basic V,destitute,adjective: poor enough to need help from others,"Jean Valjean, is at first destitute, but through the grace of a priest, he makes something of his life."
19,Basic V,peevish,adjective: easily irritated or annoyed,"Our office manager is peevish, so the rest of us tip-toe around him, hoping not to set off another one of his fits."
20,Basic V,smug,adjective: marked by excessive complacency or self-satisfaction,"When Phil was dating the model, he had a smug attitude that annoyed his buddies."
21,Basic V,travail,noun: use of physical or mental energy; hard work; agony or anguish,"While they experienced nothing but travails in refinishing the kitchen, they completed the master bedroom in less than a weekend."
22,Basic V,aphoristic,adjective: something that is concise and instructive of a general truth or principle,"Sometimes I can't stand Nathan because he tries to impress everyone by being aphoristic, but he just states the obvious."
23,Basic V,candidness,noun: the quality of being honest and straightforward in attitude and speech,"Although I was unhappy that the relationship ended, I appreciated her candidness about why she was ready to move on from the relationship."
24,Basic V,pastoral,adjective: relating to the countryside in a pleasant sense,Those who imagine America's countryside as a pastoral region are often disappointed to learn that much of rural U.S. is filled with cornfields extending as far as the eye can see.
25,Basic V,discord,noun: lack of agreement or harmony,"Despite all their talented players, the team was filled with discord--some players refused to talk to others--and lost most of their games."
26,Basic V,goad,verb: urge on with unpleasant comments,"Doug did not want to enter the race, but Jim, through a steady stream of taunts, goaded him into signing up for it."
27,Basic V,eke,"verb: To live off meager resources, to scrape by","Stranded in a cabin over the winter, Terry was able to eke out an existence on canned food."
28,Basic V,placid,adjective: not easily irritated,"Doug is normally placid, so we were all shocked to see him yelling at the television when the Mets lost the game."
29,Basic V,ploy,noun: a clever plan to turn a situation to one's advantage,"Dennis arranged an elaborate ploy, involving 14 different people lying for him in different situations, so that it could appear that he was meeting Mary completely by chance at the wedding reception."
30,Basic V,obstinate,adjective: resistant to guidance or discipline; stubbornly persistent,"The coach suggested improvements Sarah might make on the balance beam, but she remained obstinate, unwilling to modify any of the habits that made her successful in the past."
31,Basic V,tarnish,"verb: make dirty or spotty, as by exposure to air; also used metaphorically","Pete Rose was one of the best baseball players of his generation, but his involvement with gambling on baseball games has tarnished his image in the eyes of many."
32,Basic V,exasperate,verb: to irritate intensely,"As a child, I exasperated my mother with strings of never-ending questions."
33,Basic V,malevolent,adjective: wishing or appearing to wish evil to others; arising from intense ill will or hatred,"Villains are known for their malevolent nature, oftentimes inflicting cruelty on others just for enjoyment."
34,Basic V,derogative,adjective: expressed as worthless or in negative terms,Never before have we seen a debate between two political candidates that was so derogative and filthy.
35,Basic V,leery,adjective: openly distrustful and unwilling to confide,"Without checking his references and talking to previous employers, I am leery of hiring the candidate."
36,Basic V,tact,noun: consideration in dealing with others and avoiding giving offense,"In a tremendous display of tact, Shelly was able to maintain a strong friendship with Marcia, even though Marcia's husband, Frank, confessed to finding Shelly more attractive than Marcia."
37,Basic V,rash,adjective: marked by defiant disregard for danger or consequences; imprudently incurring risk,"Although Bruce was able to make the delivery in time with a nighttime motorcycle ride in the rain, Susan criticized his actions as rash."
38,Basic V,reservation,noun: an unstated doubt that prevents you from accepting something wholeheartedly,"I was initially excited by the idea of a trip to Washington, D.C. but now that I have read about the high crime statistics there, I have some reservations."
39,Basic V,irk,verb: irritate or vex,My little sister has a way of irking and annoying me like no other person.
40,Basic V,diligent,adjective: characterized by care and perseverance in carrying out tasks,"Michael was a diligent gardener, never leaving a leaf on the ground and regularly watering each plant."
41,Basic V,elude,verb: escape understanding,"While some physics concepts might elude newbies, with a little grit and a good teacher, almost anyone can develop a deep understanding of the subject."
42,Basic V,embellish,"verb: make more attractive by adding ornament, colour, etc.; make more beautiful","McCartney would write relatively straightforward lyrics, and Lennon would embellish them with puns and poetic images."
